grade,term,home_ownership,emp_length,safe_loans
D, 60 months,MORTGAGE,10+ years,-1
C, 60 months,MORTGAGE,10+ years,-1
D, 36 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,1 year,-1
C, 36 months,RENT,n/a,-1
B, 36 months,RENT,3 years,-1
C, 36 months,RENT,3 years,-1
B, 60 months,MORTGAGE,1 year,-1
C, 36 months,RENT,< 1 year,-1
F, 60 months,MORTGAGE,2 years,-1
B, 36 months,RENT,4 years,-1
B, 36 months,RENT,2 years,-1
A, 36 months,MORTGAGE,10+ years,-1
E, 60 months,MORTGAGE,3 years,-1
C, 60 months,RENT,10+ years,-1
B, 36 months,RENT,4 years,-1
C, 36 months,MORTGAGE,7 years,-1
B, 36 months,MORTGAGE,6 years,-1
C, 36 months,MORTGAGE,2 years,-1
E, 60 months,MORTGAGE,9 years,-1
C, 36 months,MORTGAGE,4 years,-1
A, 36 months,RENT,7 years,-1
B, 36 months,MORTGAGE,3 years,-1
A, 36 months,RENT,10+ years,-1
A, 36 months,MORTGAGE,5 years,-1
D, 60 months,RENT,10+ years,-1
E, 60 months,OWN,10+ years,-1
C, 36 months,RENT,1 year,-1
A, 36 months,MORTGAGE,7 years,-1
E, 60 months,RENT,4 years,-1
B, 36 months,RENT,< 1 year,-1
A, 36 months,MORTGAGE,8 years,-1
D, 36 months,RENT,1 year,-1
B, 60 months,RENT,3 years,-1
C, 36 months,MORTGAGE,10+ years,-1
A, 36 months,OWN,5 years,-1
F, 60 months,MORTGAGE,7 years,-1
B, 60 months,MORTGAGE,5 years,-1
C, 36 months,OWN,7 years,-1
B, 36 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,< 1 year,-1
E, 60 months,MORTGAGE,< 1 year,-1
A, 36 months,RENT,10+ years,-1
C, 36 months,MORTGAGE,10+ years,-1
C, 60 months,OWN,10+ years,-1
B, 60 months,RENT,9 years,-1
F, 60 months,MORTGAGE,3 years,-1
C, 36 months,OWN,3 years,-1
B, 36 months,RENT,3 years,-1
C, 60 months,MORTGAGE,10+ years,-1
B, 36 months,MORTGAGE,8 years,-1
D, 60 months,RENT,10+ years,-1
C, 36 months,MORTGAGE,6 years,-1
C, 36 months,RENT,< 1 year,-1
B, 36 months,RENT,2 years,-1
B, 60 months,MORTGAGE,10+ years,-1
B, 36 months,OWN,8 years,-1
A, 36 months,RENT,10+ years,-1
E, 60 months,OWN,10+ years,-1
E, 60 months,MORTGAGE,2 years,-1
B, 60 months,MORTGAGE,4 years,-1
C, 60 months,RENT,1 year,-1
B, 60 months,MORTGAGE,10+ years,-1
C, 60 months,MORTGAGE,10+ years,-1
C, 36 months,MORTGAGE,1 year,-1
A, 36 months,MORTGAGE,n/a,-1
D, 36 months,OWN,4 years,-1
B, 36 months,MORTGAGE,4 years,-1
A, 36 months,MORTGAGE,4 years,-1
A, 36 months,RENT,10+ years,-1
B, 36 months,RENT,1 year,-1
A, 36 months,MORTGAGE,< 1 year,-1
A, 36 months,MORTGAGE,< 1 year,-1
A, 36 months,MORTGAGE,8 years,-1
E, 60 months,RENT,< 1 year,-1
C, 36 months,RENT,2 years,-1
C, 36 months,MORTGAGE,4 years,-1
D, 60 months,MORTGAGE,10+ years,-1
B, 36 months,MORTGAGE,7 years,-1
D, 60 months,RENT,3 years,-1
D, 36 months,MORTGAGE,< 1 year,-1
B, 60 months,MORTGAGE,7 years,-1
A, 36 months,MORTGAGE,9 years,-1
B, 60 months,RENT,7 years,-1
C, 36 months,MORTGAGE,3 years,-1
C, 60 months,MORTGAGE,10+ years,-1
C, 60 months,RENT,10+ years,-1
C, 36 months,RENT,< 1 year,-1
D, 36 months,RENT,4 years,-1
B, 36 months,MORTGAGE,4 years,-1
D, 36 months,MORTGAGE,n/a,-1
E, 60 months,RENT,10+ years,-1
C, 36 months,MORTGAGE,6 years,-1
C, 36 months,RENT,2 years,-1
E, 60 months,OWN,6 years,-1
B, 36 months,RENT,4 years,-1
E, 60 months,RENT,< 1 year,-1
B, 60 months,RENT,< 1 year,-1
C, 36 months,MORTGAGE,4 years,-1
A, 60 months,RENT,< 1 year,-1
B, 36 months,RENT,1 year,-1
A, 36 months,MORTGAGE,10+ years,-1
F, 60 months,RENT,2 years,-1
A, 36 months,RENT,2 years,-1
F, 60 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,8 years,-1
D, 36 months,MORTGAGE,2 years,-1
C, 36 months,MORTGAGE,6 years,-1
C, 36 months,RENT,4 years,-1
D, 60 months,RENT,10+ years,-1
E, 60 months,MORTGAGE,7 years,-1
B, 60 months,RENT,4 years,-1
B, 60 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,10+ years,-1
E, 60 months,RENT,10+ years,-1
C, 60 months,RENT,10+ years,-1
A, 36 months,RENT,4 years,-1
A, 36 months,RENT,n/a,-1
B, 60 months,RENT,2 years,-1
C, 36 months,MORTGAGE,5 years,-1
C, 60 months,RENT,4 years,-1
D, 36 months,RENT,5 years,-1
E, 60 months,RENT,1 year,-1
A, 36 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,6 years,-1
B, 36 months,RENT,< 1 year,-1
F, 60 months,MORTGAGE,10+ years,-1
B, 60 months,RENT,7 years,-1
A, 36 months,MORTGAGE,1 year,-1
C, 36 months,MORTGAGE,10+ years,-1
A, 36 months,RENT,4 years,-1
F, 36 months,RENT,4 years,-1
A, 36 months,MORTGAGE,8 years,-1
D, 60 months,RENT,2 years,-1
E, 60 months,MORTGAGE,10+ years,-1
C, 60 months,RENT,< 1 year,-1
D, 60 months,MORTGAGE,2 years,-1
F, 60 months,MORTGAGE,10+ years,-1
C, 36 months,MORTGAGE,7 years,-1
C, 36 months,MORTGAGE,4 years,-1
E, 36 months,RENT,3 years,-1
A, 36 months,MORTGAGE,4 years,-1
C, 36 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,5 years,-1
B, 36 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,10+ years,-1
E, 60 months,MORTGAGE,4 years,-1
B, 60 months,MORTGAGE,10+ years,-1
B, 60 months,RENT,4 years,-1
D, 60 months,MORTGAGE,6 years,-1
D, 36 months,MORTGAGE,10+ years,-1
F, 60 months,RENT,10+ years,-1
C, 36 months,RENT,1 year,-1
B, 36 months,RENT,4 years,-1
A, 36 months,RENT,1 year,-1
B, 36 months,RENT,< 1 year,-1
C, 36 months,RENT,2 years,-1
D, 36 months,RENT,n/a,-1
E, 60 months,MORTGAGE,6 years,-1
C, 60 months,MORTGAGE,10+ years,-1
A, 36 months,MORTGAGE,< 1 year,-1
B, 60 months,MORTGAGE,10+ years,-1
A, 36 months,MORTGAGE,n/a,-1
B, 60 months,MORTGAGE,2 years,-1
E, 60 months,RENT,7 years,-1
C, 60 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,< 1 year,-1
E, 60 months,RENT,5 years,-1
B, 60 months,MORTGAGE,5 years,-1
C, 36 months,RENT,3 years,-1
C, 36 months,RENT,2 years,-1
D, 60 months,RENT,10+ years,-1
A, 36 months,RENT,4 years,-1
A, 36 months,RENT,2 years,-1
A, 36 months,RENT,10+ years,-1
E, 60 months,RENT,10+ years,-1
C, 36 months,RENT,4 years,-1
E, 60 months,RENT,6 years,-1
D, 36 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,4 years,-1
E, 60 months,RENT,< 1 year,-1
F, 60 months,RENT,10+ years,-1
A, 36 months,RENT,10+ years,-1
B, 36 months,MORTGAGE,n/a,-1
A, 36 months,MORTGAGE,n/a,-1
B, 36 months,RENT,1 year,-1
B, 36 months,MORTGAGE,8 years,-1
B, 60 months,MORTGAGE,2 years,-1
D, 60 months,OWN,< 1 year,-1
G, 60 months,RENT,3 years,-1
B, 36 months,RENT,3 years,-1
B, 60 months,MORTGAGE,10+ years,-1
A, 36 months,RENT,3 years,-1
A, 36 months,RENT,3 years,-1
D, 60 months,MORTGAGE,9 years,-1
D, 60 months,OWN,5 years,-1
C, 36 months,MORTGAGE,1 year,-1
C, 60 months,RENT,10+ years,-1
B, 36 months,RENT,3 years,-1
C, 36 months,RENT,5 years,-1
C, 60 months,MORTGAGE,10+ years,-1
D, 60 months,MORTGAGE,6 years,-1
D, 60 months,OWN,6 years,-1
C, 36 months,RENT,1 year,-1
C, 60 months,RENT,1 year,-1
A, 36 months,OWN,7 years,-1
E, 60 months,MORTGAGE,3 years,-1
C, 60 months,MORTGAGE,6 years,-1
B, 60 months,MORTGAGE,1 year,-1
B, 36 months,MORTGAGE,6 years,-1
A, 36 months,MORTGAGE,n/a,-1
B, 60 months,RENT,6 years,-1
A, 36 months,RENT,10+ years,-1
E, 60 months,RENT,2 years,-1
D, 60 months,RENT,3 years,-1
D, 36 months,RENT,5 years,-1
B, 36 months,MORTGAGE,10+ years,-1
F, 60 months,RENT,1 year,-1
A, 36 months,MORTGAGE,8 years,-1
G, 60 months,OWN,3 years,-1
D, 60 months,RENT,n/a,-1
B, 36 months,OWN,1 year,-1
B, 36 months,RENT,2 years,-1
D, 36 months,RENT,3 years,-1
A, 36 months,MORTGAGE,3 years,-1
B, 60 months,MORTGAGE,2 years,-1
D, 60 months,MORTGAGE,10+ years,-1
B, 60 months,RENT,6 years,-1
F, 60 months,OWN,3 years,-1
B, 36 months,OWN,4 years,-1
C, 60 months,RENT,5 years,-1
D, 60 months,MORTGAGE,10+ years,-1
C, 60 months,MORTGAGE,3 years,-1
G, 60 months,MORTGAGE,8 years,-1
A, 36 months,RENT,5 years,-1
D, 36 months,RENT,5 years,-1
E, 60 months,MORTGAGE,10+ years,-1
A, 36 months,RENT,2 years,-1
C, 36 months,RENT,3 years,-1
F, 60 months,RENT,4 years,-1
D, 60 months,RENT,5 years,-1
E, 60 months,MORTGAGE,< 1 year,-1
B, 36 months,RENT,8 years,-1
C, 60 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,10+ years,-1
E, 60 months,MORTGAGE,3 years,-1
B, 60 months,RENT,6 years,-1
C, 60 months,MORTGAGE,< 1 year,-1
A, 36 months,RENT,9 years,-1
D, 60 months,RENT,6 years,-1
B, 36 months,OWN,n/a,-1
A, 36 months,OWN,5 years,-1
B, 36 months,RENT,1 year,-1
C, 36 months,RENT,2 years,-1
C, 60 months,RENT,10+ years,-1
D, 60 months,MORTGAGE,8 years,-1
C, 36 months,RENT,< 1 year,-1
A, 36 months,RENT,6 years,-1
D, 60 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,3 years,-1
D, 60 months,RENT,6 years,-1
E, 60 months,RENT,10+ years,-1
E, 60 months,RENT,< 1 year,-1
B, 36 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,1 year,-1
D, 60 months,MORTGAGE,< 1 year,-1
C, 60 months,MORTGAGE,7 years,-1
C, 60 months,MORTGAGE,5 years,-1
D, 60 months,MORTGAGE,5 years,-1
C, 60 months,MORTGAGE,10+ years,-1
F, 60 months,MORTGAGE,4 years,-1
C, 36 months,RENT,5 years,-1
A, 36 months,RENT,< 1 year,-1
B, 60 months,RENT,1 year,-1
D, 36 months,RENT,1 year,-1
E, 60 months,OWN,10+ years,-1
D, 60 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,8 years,-1
A, 36 months,MORTGAGE,5 years,-1
B, 60 months,MORTGAGE,2 years,-1
B, 60 months,MORTGAGE,4 years,-1
D, 36 months,MORTGAGE,4 years,-1
B, 60 months,RENT,3 years,-1
C, 60 months,MORTGAGE,4 years,-1
B, 36 months,OWN,1 year,-1
D, 60 months,RENT,7 years,-1
B, 36 months,RENT,6 years,-1
A, 36 months,MORTGAGE,n/a,-1
E, 36 months,MORTGAGE,10+ years,-1
F, 60 months,MORTGAGE,10+ years,-1
D, 60 months,RENT,8 years,-1
D, 36 months,RENT,2 years,-1
D, 60 months,MORTGAGE,3 years,-1
B, 36 months,RENT,6 years,-1
D, 60 months,RENT,2 years,-1
C, 60 months,MORTGAGE,n/a,-1
A, 36 months,RENT,2 years,-1
D, 36 months,OWN,10+ years,-1
F, 60 months,RENT,2 years,-1
C, 36 months,OWN,< 1 year,-1
A, 36 months,RENT,4 years,-1
D, 60 months,RENT,10+ years,-1
F, 60 months,RENT,4 years,-1
D, 60 months,RENT,10+ years,-1
E, 36 months,RENT,4 years,-1
B, 36 months,RENT,4 years,-1
C, 36 months,RENT,10+ years,-1
E, 36 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,1 year,-1
D, 36 months,RENT,< 1 year,-1
D, 60 months,RENT,4 years,-1
A, 36 months,MORTGAGE,6 years,-1
C, 60 months,MORTGAGE,8 years,-1
E, 60 months,RENT,2 years,-1
B, 36 months,RENT,3 years,-1
D, 60 months,RENT,4 years,-1
B, 36 months,RENT,< 1 year,-1
B, 60 months,MORTGAGE,10+ years,-1
A, 36 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,< 1 year,-1
D, 60 months,MORTGAGE,6 years,-1
D, 36 months,RENT,5 years,-1
F, 60 months,RENT,3 years,-1
A, 36 months,OWN,5 years,-1
B, 36 months,MORTGAGE,8 years,-1
E, 36 months,MORTGAGE,4 years,-1
B, 36 months,RENT,10+ years,-1
G, 60 months,RENT,1 year,-1
B, 36 months,OWN,1 year,-1
C, 60 months,OWN,10+ years,-1
B, 36 months,MORTGAGE,6 years,-1
E, 36 months,RENT,1 year,-1
C, 60 months,MORTGAGE,2 years,-1
F, 60 months,RENT,10+ years,-1
D, 36 months,MORTGAGE,3 years,-1
D, 36 months,RENT,2 years,-1
F, 36 months,RENT,2 years,-1
A, 36 months,RENT,7 years,-1
B, 36 months,MORTGAGE,3 years,-1
A, 36 months,RENT,1 year,-1
F, 60 months,RENT,10+ years,-1
A, 36 months,MORTGAGE,< 1 year,-1
B, 36 months,MORTGAGE,10+ years,-1
D, 36 months,RENT,8 years,-1
E, 60 months,OWN,8 years,-1
B, 36 months,RENT,2 years,-1
D, 60 months,RENT,< 1 year,-1
C, 36 months,MORTGAGE,10+ years,-1
D, 36 months,MORTGAGE,10+ years,-1
F, 60 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,10+ years,-1
D, 36 months,RENT,3 years,-1
B, 60 months,MORTGAGE,5 years,-1
C, 36 months,MORTGAGE,2 years,-1
B, 36 months,RENT,10+ years,-1
C, 36 months,RENT,7 years,-1
E, 60 months,RENT,9 years,-1
A, 36 months,RENT,3 years,-1
F, 60 months,OWN,10+ years,-1
F, 60 months,MORTGAGE,7 years,-1
E, 60 months,MORTGAGE,10+ years,-1
C, 60 months,MORTGAGE,3 years,-1
C, 60 months,RENT,3 years,-1
D, 60 months,RENT,4 years,-1
E, 60 months,MORTGAGE,10+ years,-1
D, 60 months,RENT,9 years,-1
D, 36 months,MORTGAGE,10+ years,-1
D, 36 months,RENT,< 1 year,-1
D, 60 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,6 years,-1
B, 36 months,RENT,10+ years,-1
A, 36 months,MORTGAGE,< 1 year,-1
D, 36 months,MORTGAGE,4 years,-1
C, 60 months,RENT,10+ years,-1
D, 60 months,RENT,2 years,-1
E, 60 months,MORTGAGE,10+ years,-1
C, 60 months,MORTGAGE,< 1 year,-1
B, 36 months,RENT,10+ years,-1
D, 36 months,RENT,2 years,-1
C, 60 months,MORTGAGE,10+ years,-1
C, 60 months,RENT,1 year,-1
C, 36 months,RENT,< 1 year,-1
B, 60 months,RENT,2 years,-1
C, 36 months,RENT,5 years,-1
A, 36 months,MORTGAGE,6 years,-1
E, 36 months,RENT,2 years,-1
B, 36 months,MORTGAGE,< 1 year,-1
G, 60 months,RENT,3 years,-1
A, 36 months,OWN,6 years,-1
A, 36 months,RENT,6 years,-1
C, 36 months,RENT,2 years,-1
F, 60 months,RENT,5 years,-1
B, 36 months,MORTGAGE,10+ years,-1
B, 36 months,MORTGAGE,10+ years,-1
D, 36 months,MORTGAGE,10+ years,-1
A, 36 months,MORTGAGE,9 years,-1
C, 36 months,MORTGAGE,3 years,-1
A, 36 months,MORTGAGE,10+ years,-1
B, 60 months,RENT,1 year,-1
B, 36 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,9 years,-1
D, 60 months,MORTGAGE,< 1 year,-1
B, 36 months,MORTGAGE,6 years,-1
B, 60 months,RENT,3 years,-1
C, 60 months,RENT,6 years,-1
C, 36 months,RENT,2 years,-1
C, 36 months,RENT,10+ years,-1
B, 60 months,MORTGAGE,6 years,-1
E, 36 months,RENT,1 year,-1
B, 36 months,OWN,2 years,-1
B, 36 months,MORTGAGE,8 years,-1
D, 36 months,RENT,3 years,-1
B, 60 months,MORTGAGE,10+ years,-1
D, 60 months,MORTGAGE,7 years,-1
B, 60 months,MORTGAGE,10+ years,-1
D, 60 months,MORTGAGE,10+ years,-1
B, 36 months,MORTGAGE,3 years,-1
C, 36 months,OWN,3 years,-1
A, 36 months,MORTGAGE,8 years,-1
D, 60 months,RENT,5 years,-1
B, 36 months,MORTGAGE,1 year,-1
A, 36 months,OWN,2 years,-1
D, 60 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,5 years,-1
D, 60 months,RENT,5 years,-1
G, 60 months,MORTGAGE,10+ years,-1
B, 36 months,MORTGAGE,5 years,-1
C, 60 months,MORTGAGE,10+ years,-1
C, 36 months,MORTGAGE,10+ years,-1
D, 36 months,MORTGAGE,10+ years,-1
C, 36 months,OWN,2 years,-1
B, 36 months,RENT,4 years,-1
D, 60 months,RENT,10+ years,-1
B, 36 months,RENT,3 years,-1
D, 60 months,MORTGAGE,10+ years,-1
G, 60 months,RENT,< 1 year,-1
E, 60 months,MORTGAGE,10+ years,-1
D, 36 months,RENT,8 years,-1
D, 60 months,RENT,< 1 year,-1
C, 60 months,MORTGAGE,3 years,-1
E, 60 months,RENT,5 years,-1
B, 60 months,MORTGAGE,2 years,-1
B, 36 months,RENT,1 year,-1
F, 60 months,MORTGAGE,6 years,-1
E, 60 months,MORTGAGE,10+ years,-1
A, 36 months,MORTGAGE,3 years,-1
B, 36 months,RENT,1 year,-1
A, 36 months,RENT,2 years,-1
F, 60 months,MORTGAGE,9 years,-1
E, 60 months,MORTGAGE,8 years,-1
A, 36 months,RENT,10+ years,-1
B, 36 months,RENT,< 1 year,-1
A, 36 months,RENT,1 year,-1
B, 36 months,RENT,3 years,-1
F, 60 months,MORTGAGE,5 years,-1
B, 60 months,RENT,n/a,-1
D, 60 months,MORTGAGE,< 1 year,-1
B, 60 months,RENT,2 years,-1
E, 60 months,OWN,10+ years,-1
B, 36 months,MORTGAGE,3 years,-1
F, 60 months,MORTGAGE,10+ years,-1
D, 36 months,MORTGAGE,3 years,-1
C, 60 months,MORTGAGE,10+ years,-1
F, 60 months,OWN,10+ years,-1
E, 60 months,MORTGAGE,2 years,-1
A, 36 months,MORTGAGE,1 year,-1
C, 60 months,RENT,5 years,-1
A, 36 months,MORTGAGE,5 years,-1
A, 36 months,RENT,5 years,-1
C, 60 months,MORTGAGE,10+ years,-1
C, 60 months,RENT,1 year,-1
D, 60 months,OWN,10+ years,-1
C, 36 months,RENT,10+ years,-1
G, 60 months,RENT,1 year,-1
D, 60 months,RENT,< 1 year,-1
C, 36 months,RENT,< 1 year,-1
E, 60 months,RENT,2 years,-1
E, 60 months,RENT,1 year,-1
B, 60 months,RENT,10+ years,-1
C, 60 months,MORTGAGE,2 years,-1
D, 60 months,RENT,6 years,-1
C, 60 months,MORTGAGE,6 years,-1
D, 60 months,MORTGAGE,2 years,-1
G, 60 months,MORTGAGE,3 years,-1
E, 36 months,RENT,4 years,-1
A, 36 months,MORTGAGE,4 years,-1
E, 60 months,RENT,< 1 year,-1
E, 60 months,RENT,6 years,-1
A, 36 months,MORTGAGE,n/a,-1
F, 60 months,RENT,10+ years,-1
D, 60 months,OWN,9 years,-1
F, 60 months,MORTGAGE,10+ years,-1
A, 36 months,RENT,6 years,-1
E, 36 months,OWN,7 years,-1
G, 60 months,RENT,1 year,-1
C, 60 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,n/a,-1
D, 60 months,RENT,< 1 year,-1
D, 36 months,RENT,7 years,-1
A, 36 months,MORTGAGE,10+ years,-1
D, 60 months,RENT,< 1 year,-1
D, 36 months,MORTGAGE,3 years,-1
C, 36 months,RENT,1 year,-1
B, 60 months,MORTGAGE,10+ years,-1
E, 60 months,RENT,7 years,-1
D, 60 months,RENT,< 1 year,-1
C, 60 months,MORTGAGE,5 years,-1
D, 36 months,MORTGAGE,5 years,-1
E, 60 months,MORTGAGE,10+ years,-1
F, 60 months,MORTGAGE,4 years,-1
B, 36 months,MORTGAGE,< 1 year,-1
C, 36 months,RENT,1 year,-1
E, 60 months,MORTGAGE,6 years,-1
B, 60 months,MORTGAGE,10+ years,-1
B, 60 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,7 years,-1
D, 36 months,RENT,1 year,-1
A, 36 months,OWN,1 year,-1
C, 60 months,MORTGAGE,2 years,-1
C, 36 months,RENT,< 1 year,-1
B, 36 months,RENT,< 1 year,-1
B, 36 months,RENT,3 years,-1
B, 60 months,OWN,< 1 year,-1
E, 60 months,MORTGAGE,3 years,-1
G, 60 months,RENT,5 years,-1
C, 36 months,MORTGAGE,2 years,-1
E, 60 months,MORTGAGE,4 years,-1
D, 60 months,MORTGAGE,6 years,-1
A, 36 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,3 years,-1
D, 60 months,RENT,2 years,-1
B, 36 months,OWN,n/a,-1
D, 36 months,RENT,10+ years,-1
B, 36 months,RENT,10+ years,-1
D, 36 months,MORTGAGE,3 years,-1
C, 60 months,RENT,10+ years,-1
C, 60 months,MORTGAGE,n/a,-1
B, 36 months,RENT,6 years,-1
D, 36 months,RENT,3 years,-1
D, 36 months,RENT,7 years,-1
E, 36 months,MORTGAGE,3 years,-1
F, 60 months,MORTGAGE,6 years,-1
A, 36 months,RENT,7 years,-1
E, 60 months,MORTGAGE,1 year,-1
D, 36 months,RENT,2 years,-1
B, 36 months,MORTGAGE,10+ years,-1
D, 36 months,MORTGAGE,6 years,-1
B, 36 months,RENT,1 year,-1
D, 60 months,MORTGAGE,10+ years,-1
C, 60 months,MORTGAGE,9 years,-1
D, 36 months,RENT,3 years,-1
B, 36 months,OWN,n/a,-1
B, 36 months,MORTGAGE,5 years,-1
D, 60 months,RENT,10+ years,-1
F, 60 months,RENT,< 1 year,-1
F, 36 months,RENT,2 years,-1
D, 60 months,RENT,6 years,-1
E, 60 months,RENT,5 years,-1
C, 36 months,OWN,2 years,-1
C, 60 months,RENT,10+ years,-1
A, 36 months,MORTGAGE,10+ years,-1
C, 36 months,MORTGAGE,3 years,-1
C, 36 months,RENT,2 years,-1
D, 60 months,RENT,3 years,-1
E, 36 months,RENT,< 1 year,-1
B, 36 months,OWN,n/a,-1
E, 60 months,MORTGAGE,2 years,-1
B, 36 months,MORTGAGE,4 years,-1
D, 36 months,RENT,2 years,-1
B, 60 months,MORTGAGE,10+ years,-1
B, 36 months,MORTGAGE,3 years,-1
E, 60 months,MORTGAGE,6 years,-1
A, 36 months,RENT,3 years,-1
C, 36 months,MORTGAGE,2 years,-1
B, 60 months,RENT,10+ years,-1
C, 60 months,MORTGAGE,2 years,-1
D, 36 months,OWN,10+ years,-1
E, 60 months,MORTGAGE,7 years,-1
B, 60 months,MORTGAGE,6 years,-1
D, 60 months,RENT,< 1 year,-1
F, 60 months,RENT,10+ years,-1
B, 60 months,RENT,< 1 year,-1
C, 36 months,RENT,2 years,-1
E, 60 months,MORTGAGE,4 years,-1
B, 36 months,RENT,< 1 year,-1
B, 60 months,MORTGAGE,6 years,-1
B, 36 months,RENT,4 years,-1
E, 60 months,MORTGAGE,4 years,-1
B, 36 months,MORTGAGE,4 years,-1
D, 60 months,RENT,10+ years,-1
B, 60 months,RENT,7 years,-1
B, 60 months,RENT,7 years,-1
B, 60 months,OWN,1 year,-1
E, 36 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,10+ years,-1
E, 60 months,MORTGAGE,10+ years,-1
B, 36 months,RENT,5 years,-1
C, 60 months,MORTGAGE,1 year,-1
B, 60 months,RENT,10+ years,-1
C, 60 months,MORTGAGE,5 years,-1
B, 36 months,RENT,10+ years,-1
C, 36 months,RENT,3 years,-1
A, 36 months,RENT,n/a,-1
C, 60 months,RENT,1 year,-1
C, 36 months,RENT,5 years,-1
C, 60 months,OWN,10+ years,-1
E, 36 months,RENT,4 years,-1
B, 36 months,RENT,1 year,-1
E, 60 months,MORTGAGE,6 years,-1
F, 60 months,RENT,10+ years,-1
E, 60 months,RENT,10+ years,-1
C, 60 months,RENT,< 1 year,-1
B, 36 months,RENT,7 years,-1
C, 36 months,MORTGAGE,10+ years,-1
C, 36 months,MORTGAGE,9 years,-1
F, 60 months,RENT,7 years,-1
D, 60 months,MORTGAGE,4 years,-1
F, 60 months,MORTGAGE,5 years,-1
C, 36 months,RENT,3 years,-1
B, 36 months,MORTGAGE,10+ years,-1
D, 36 months,MORTGAGE,6 years,-1
D, 36 months,MORTGAGE,10+ years,-1
B, 36 months,OWN,4 years,-1
E, 60 months,RENT,2 years,-1
B, 36 months,RENT,3 years,-1
A, 36 months,RENT,2 years,-1
A, 36 months,OWN,2 years,-1
D, 36 months,MORTGAGE,2 years,-1
C, 36 months,RENT,4 years,-1
A, 36 months,RENT,6 years,-1
C, 60 months,RENT,4 years,-1
B, 60 months,MORTGAGE,8 years,-1
B, 36 months,MORTGAGE,< 1 year,-1
B, 60 months,RENT,2 years,-1
C, 36 months,RENT,< 1 year,-1
G, 60 months,OWN,6 years,-1
G, 60 months,RENT,10+ years,-1
B, 60 months,MORTGAGE,7 years,-1
C, 36 months,RENT,2 years,-1
D, 36 months,RENT,10+ years,-1
E, 60 months,MORTGAGE,10+ years,-1
E, 60 months,RENT,3 years,-1
C, 60 months,MORTGAGE,6 years,-1
D, 60 months,RENT,2 years,-1
B, 36 months,MORTGAGE,n/a,-1
C, 60 months,RENT,4 years,-1
B, 36 months,RENT,10+ years,-1
F, 36 months,RENT,7 years,-1
B, 36 months,MORTGAGE,10+ years,-1
B, 60 months,RENT,7 years,-1
C, 36 months,MORTGAGE,10+ years,-1
A, 60 months,MORTGAGE,10+ years,-1
D, 60 months,RENT,1 year,-1
B, 60 months,RENT,5 years,-1
D, 60 months,RENT,< 1 year,-1
G, 60 months,OWN,8 years,-1
B, 36 months,RENT,3 years,-1
C, 36 months,RENT,10+ years,-1
D, 36 months,OWN,< 1 year,-1
A, 36 months,MORTGAGE,1 year,-1
B, 36 months,MORTGAGE,10+ years,-1
C, 36 months,MORTGAGE,6 years,-1
E, 60 months,MORTGAGE,10+ years,-1
A, 36 months,MORTGAGE,5 years,-1
B, 36 months,MORTGAGE,2 years,-1
B, 36 months,RENT,10+ years,-1
A, 36 months,RENT,2 years,-1
C, 60 months,MORTGAGE,9 years,-1
B, 36 months,MORTGAGE,10+ years,-1
D, 60 months,RENT,6 years,-1
C, 36 months,MORTGAGE,10+ years,-1
C, 36 months,RENT,5 years,-1
D, 36 months,RENT,6 years,-1
C, 36 months,RENT,n/a,-1
B, 36 months,RENT,2 years,-1
B, 60 months,RENT,2 years,-1
A, 36 months,MORTGAGE,10+ years,-1
B, 36 months,MORTGAGE,4 years,-1
D, 60 months,MORTGAGE,1 year,-1
B, 36 months,RENT,3 years,-1
D, 36 months,RENT,10+ years,-1
F, 60 months,RENT,7 years,-1
B, 36 months,RENT,2 years,-1
D, 60 months,MORTGAGE,10+ years,-1
C, 60 months,RENT,10+ years,-1
E, 36 months,RENT,6 years,-1
D, 60 months,OWN,10+ years,-1
E, 60 months,MORTGAGE,4 years,-1
D, 60 months,OWN,10+ years,-1
